height_over_sea_level,fall,net,fall_1,flow,power_of_hydroelectrical_turbine
613,77.69,76.54,8.0,5374.17,4095864012.2130003
616,80.94,80.92,5.5,3934.4,3123997796.16
607,72.16,72.765,3.5,2055.79,1455272360.784
602,68.04,67.365,4.5,2541.98,1696701491.3520002
628,92.94,92.92,5.5,4469.14,4074699960.3960004
600,65.99,65.165,5.0,2757.12,1784854441.728
628,92.59,90.84,9.0,7094.76,6444226556.604001
606,71.04,71.365,4.5,2726.64,1900201959.936
598,64.04,63.365,4.5,2359.34,1482213830.6160002
611,75.59,73.84,9.0,5518.44,4092132408.876
626,90.99,91.165,5.0,3927.28,3505536862.6320004
595,60.99,60.165,5.0,2494.59,1492542882.6210003
621,85.74,84.84,7.5,5707.36,4800514145.183999
620,86.21,85.935,3.0,1996.27,1688285664.0269997
629,93.64,92.19,8.5,6913.55,6350845103.82
614,78.74,77.84,7.5,5213.25,4026919702.0499997
622,86.84,86.415,6.5,5044.97,4297811960.988001
604,70.04,69.365,4.5,2637.73,1812364236.2520003
617,81.64,80.19,8.5,5919.28,4740682688.352
611,75.64,74.19,8.5,5353.22,3972241271.4480004
604,69.64,67.19,8.5,4703.02,3212954648.5680003
601,66.79,65.14,7.0,3897.86,2553916460.814
593,59.1,58.55,4.0,1849.71,1072408216.4100001
626,90.64,89.19,8.5,6682.03,5941516744.151999
593,58.89,57.665,6.0,2863.83,1654465806.747
618,82.74,81.84,7.5,5497.43,4462150683.942
625,89.94,89.92,5.5,4346.19,3834692983.566
593,59.04,58.365,4.5,2120.8,1228330033.92
613,79.21,78.935,3.0,1851.07,1438374128.6069999
592,57.79,56.14,7.0,3065.99,1738170744.201
627,91.79,91.14,7.0,5727.92,5157762270.408001
615,79.89,79.665,6.0,4265.8,3343196615.22
616,81.04,81.365,4.5,3124.13,2483690847.912
595,60.79,59.14,7.0,3422.18,2040816700.7819998
608,72.69,71.54,8.0,4899.39,3493700625.7710004
616,80.74,79.84,7.5,5356.86,4242951317.4839993
630,94.59,92.84,9.0,7261.37,6738027815.223001
620,84.94,84.92,5.5,4147.68,3456101643.5520005
620,84.99,85.165,5.0,3698.29,3083456314.2509995
595,61.1,60.55,4.0,1935.13,1159899505.8300002
629,93.94,93.92,5.5,4509.67,4155892702.038
617,81.69,80.54,8.0,5708.99,4575064126.311
591,57.04,56.365,4.5,2024.05,1132582275.72
617,81.94,81.92,5.5,3981.74,3200647638.6359997
623,87.69,86.54,8.0,6171.22,5308723504.458
627,91.94,91.92,5.5,4427.36,3993175003.103999
609,74.16,74.765,3.5,2117.9,1540792581.84
